date,userid,firstname,lastname,location
2007-06-26 00:14:57,__RequestVerificationToken_Lw__=BD1BC,Milford,Exner,Ider
2014-01-30 08:01:25,__RequestVerificationToken_Lw__=CA2CB,Bessie,Colagiovanni,Eielson Air Force Base
2005-08-11 19:48:29,__RequestVerificationToken_Lw__=1AA22,Cierra,Ludecke,Blountsville
2014-02-14 04:24:09,__RequestVerificationToken_Lw__=1ADAB,Lu,Klugh,Hanceville
2002-09-22 20:11:05,__RequestVerificationToken_Lw__=1CCBD,Maci,Latty,Daphne
2011-06-19 18:27:30,__RequestVerificationToken_Lw__=AAA3D,Kaylie,Mealor,Clanton
2007-02-14 22:39:49,__RequestVerificationToken_Lw__=C12DA,Friend,Kuykendall,Huxford
2009-08-13 02:41:26,__RequestVerificationToken_Lw__=1A3BC,Andres,Curney,Hoonah
2008-03-08 03:27:42,__RequestVerificationToken_Lw__=1ADA1,Cheryle,Chernak,Carrollton
2005-07-15 07:53:59,__RequestVerificationToken_Lw__=C1A12,Zandra,Neuhart,Eielson Air Force Base
2003-08-01 07:31:31,__RequestVerificationToken_Lw__=D2ACC,Ollie,Tonkin,Homer
2005-01-06 00:39:01,__RequestVerificationToken_Lw__=C1A3C,Alberta,Payno,Bay Minette
2010-01-09 12:22:55,__RequestVerificationToken_Lw__=1DD13,Elna,Labauve,Coffeeville
2007-10-28 03:25:10,__RequestVerificationToken_Lw__=A21DB,Herschel,Wieland,Kenai
2000-09-18 11:17:25,__RequestVerificationToken_Lw__=C1322,Saverio,Vielmas,Dauphin Island
2008-06-03 05:15:50,__RequestVerificationToken_Lw__=B2CD1,Deric,Nierman,Dothan
2014-10-28 05:39:05,__RequestVerificationToken_Lw__=33213,Mercedes,Mallinson,Fairfield
2010-06-04 15:44:19,__RequestVerificationToken_Lw__=AC11A,Macey,Shenk,Fruitdale
2015-02-15 00:19:50,__RequestVerificationToken_Lw__=B2C22,Minda,Crampton,Allgood
2014-04-06 03:31:45,__RequestVerificationToken_Lw__=DCCD2,Christion,Sweers,Clayton
2011-07-08 05:43:53,__RequestVerificationToken_Lw__=2222C,Dabney,Thronton,Evergreen
2011-02-07 15:12:28,__RequestVerificationToken_Lw__=A13DB,Virgel,Armond,Florence
2004-09-24 20:50:52,__RequestVerificationToken_Lw__=C1C23,Tari,Deborde,Athens
2012-08-31 08:37:01,__RequestVerificationToken_Lw__=33B1C,Adelaide,Goldman,Fairbanks
2005-01-18 04:59:07,__RequestVerificationToken_Lw__=332C2,Stone,Henriguez,Jacksonville
2006-07-26 18:29:48,__RequestVerificationToken_Lw__=2A2DA,Trevor,Esterbrook,Jefferson
2008-11-05 10:26:44,__RequestVerificationToken_Lw__=DCDCC,Vernal,Baton,Hoonah
2013-08-13 22:28:16,__RequestVerificationToken_Lw__=D2AB1,Odis,McVicar,Foley
2008-07-26 16:06:35,__RequestVerificationToken_Lw__=BDD2C,Lenon,Pelcher,Arab
2002-10-15 18:27:46,__RequestVerificationToken_Lw__=21D21,Daniele,Nampel,Homer
